city,interceptLinOnly,betaLinOnly,pvalLinOnly,rSquaredLinOnly,direction,sigLinOnly,betaRLM_freqHCN,pvalRLM_freqHCN,sigRLM,modelOrderBestFit,betaBestFit,pvalBestFit,rSquareBestFit,yIntBestFit,predictedBestFit,continent,Mean_annualAI,Mean_annualPET,Mean_DEM,Mean_GMIS,Mean_NDSI,Mean_summerLST,Mean_summerNDVI,Mean_winterLST,Mean_winterNDVI,betaRLM_annualAI,betaRLM_annualPET,betaRLM_DEM,betaRLM_GMIS,betaRLM_NDSI,betaRLM_summerLST,betaRLM_summerNDVI,betaRLM_winterLST,betaRLM_winterNDVI,pvalRLM_annualAI,pvalRLM_annualPET,pvalRLM_DEM,pvalRLM_GMIS,pvalRLM_NDSI,pvalRLM_summerLST,pvalRLM_summerNDVI,pvalRLM_winterLST,pvalRLM_winterNDVI,latitude_city,longitude_city,city_population,city_area,city_num,city_age
Tehran,0.172,0.423,0.011,0.159,positive,Yes,0.431,0.013,Yes,linear,0.423,0.011,0.159,0.172,0.595,Asia,0.15,1401.425,1096,NaN,-0.245,47.579,0.336,7.521,0.212,-0.06,134.938,-275.315,NA,-0.089,5.495,0.082,2.481,0.105,0,0,0,NA,0.029,0.016,0.353,0.01,0.108,35.689425,51.416889,8693706,1163.44,3,120
Temuco,0.749,0.024,0.711,0.003,positive,No,0.016,0.805,No,linear,0.024,0.711,0.003,0.749,0.773,South America,1.062,1107.54,93.283,NaN,-0.336,29.163,0.387,4.744,0.422,-0.164,-9.105,-57.826,NA,-0.249,-1.484,0.227,0.539,0.421,0,0,0,NA,0,0.086,0,0.336,0,-38.739922,-72.590157,236377,41.1,1,40
Thessaloniki,0.324,0.421,0.006,0.164,positive,Yes,0.421,0.011,Yes,linear,0.421,0.006,0.164,0.324,0.744,Europe,0.395,1125.773,29.364,75.867,-0.279,35.36,0.288,12.074,0.238,-0.012,5.132,-54.353,-32.112,-0.207,0.315,0.158,0.697,0.217,0,0.002,0,0.005,0,0.697,0.005,0.121,0,40.640064,22.94442,315196,144.17,1,118
Tokyo,0.175,0.105,0.206,0.033,positive,No,0.066,0.381,No,linear,0.105,0.206,0.033,0.175,0.28,Asia,1.365,1008.42,24.18,52.153,-0.349,30.882,0.511,9.716,0.319,-0.301,69.895,-11.355,-30.183,-0.189,-3.077,0.112,0.411,-0.008,0,0,0.041,0.006,0,0.01,0.164,0.223,0.896,35.689487,139.691711,9272740,6185.82,1,411
Toluca,0.399,0.572,0.032,0.21,positive,Yes,0.631,0.059,No,linear,0.572,0.032,0.21,0.399,0.971,North America,0.641,1411.636,2663.273,65.691,-0.326,39.462,0.298,25.456,0.203,0.174,68.117,-17.473,-56.578,-0.193,-4.325,0.218,-1.882,0.143,0,0.027,0.674,0,0,0.008,0.009,0.1,0.015,19.29212,-99.655777,2260149,305.24,2,53
Toronto,0.16,0.316,0,0.204,positive,Yes,0.301,0,Yes,linear,0.316,0,0.204,0.16,0.476,North America,0.944,845.182,191.033,34.404,0.643,31.603,0.48,-9.479,0.012,0.023,9.939,63.636,-68.763,0.211,-7.297,0.285,-5.72,-0.049,0,0.027,0,0,0,0,0,0,0,43.653225,-79.383186,2731571,1646.97,6,145
Trondheim,0.084,-0.038,0.447,0.015,negative,No,-0.022,0.561,No,linear,-0.038,0.447,0.015,0.084,0.045,Europe,1.822,481.22,53,53.361,0.585,29.756,0.477,-5.452,-0.017,0.019,-16.034,122.354,-61.959,0.902,-5.985,0.435,-5.083,-0.019,0.003,0,0,0,0,0,0,0,0.652,63.43045,10.395002,170936,62.95,1,19
Uppsala,0.051,-0.043,0.156,0.054,negative,No,-0.026,0.18,No,linear,-0.043,0.156,0.054,0.051,0.008,Europe,0.987,563.487,29.974,18.583,-0.413,28.495,0.659,1.576,0.452,0.011,0.245,22.431,-45.567,-0.004,-7.084,0.332,-0.63,0.468,0,0.437,0,0,0.892,0,0,0.013,0,59.858131,17.644621,162089,41.96,3,39
Uruapan,0.881,-0.236,0.292,0.061,negative,No,-0.131,0.488,No,linear,-0.236,0.292,0.061,0.881,0.645,North America,0.972,1638.65,1645.737,66.316,-0.354,38.909,0.299,26.844,0.329,-0.047,-1.357,128.606,-67.417,-0.168,-7.067,0.377,-4.795,0.443,0,0.768,0,0,0,0,0,0,0,19.42085,-102.061638,299965,41.61,1,36
Vancouver,0.129,0.26,0.008,0.169,positive,Yes,0.243,0.004,Yes,linear,0.26,0.008,0.169,0.129,0.389,North America,1.711,766,61.6,32.8,-0.355,37.922,0.47,3.086,0.418,-0.332,56.908,-24.09,-52.765,-0.172,-2.816,0.201,-3.742,0.201,0,0,0.318,0,0,0.091,0,0,0,49.28273,-123.120735,672963,697.06,3,96
Victoria,0.293,0.291,0.003,0.203,positive,Yes,0.303,0.003,Yes,linear,0.291,0.003,0.203,0.293,0.584,North America,1.136,714.425,44.925,20.456,-0.423,33.512,0.548,3.729,0.542,0.369,15.86,48.817,-43.878,-0.195,-4.715,0.28,-3.728,0.321,0,0,0,0,0,0,0,0,0,48.428421,-123.365646,92041,111.51,2,NA
Warsaw,0.058,-0.038,0.257,0.027,negative,No,-0.013,0.32,No,linear,-0.038,0.257,0.027,0.058,0.02,Europe,0.679,738.24,93.94,26.941,0.448,38.102,0.547,-11.194,0.155,0.017,1.909,19.772,-50.383,0.354,-1.249,0.151,-2.256,-0.116,0,0.002,0,0,0,0.179,0.004,0,0.008,52.229675,21.01223,1777972,422.21,3,693
Washington,0.162,0.177,0.021,0.117,positive,Yes,0.205,0.006,Yes,linear,0.177,0.021,0.117,0.162,0.339,North America,0.909,1125.956,90.8,18.6,0.709,31.639,0.655,-4.154,0.035,-0.003,-26.682,121.83,-39.911,-0.016,-6.704,0.28,-2.605,0.019,0.662,0,0,0,0.627,0,0,0,0.445,38.907192,-77.036873,601766,2077.09,9,146
Waterloo,0.302,-0.055,0.598,0.01,negative,No,-0.086,0.328,No,linear,-0.055,0.598,0.01,0.302,0.247,North America,1.107,850.267,366.1,27.09,0.539,30.99,0.542,-10.248,0.061,0.054,-12.584,83.543,-52.496,0.457,-3.138,0.077,-2.956,-0.142,0,0,0,0,0,0.006,0.256,0,0,43.464256,-80.520409,104986,221.21,6,NA
Whitchurch-Stouffville,0.295,0.034,0.692,0.007,positive,No,0.034,0.702,No,linear,0.034,0.692,0.007,0.295,0.329,North America,0.961,829.84,258.24,32.353,0.797,32.053,0.514,-19.896,-0.028,-0.022,4.93,-20.6,-61.669,0.014,-5.188,0.189,-1.863,0.006,0,0,0,0,0.58,0,0.032,0,0.697,43.969332,-79.25685,32634,9.94,5,NA
Winnipeg,0.095,-0.016,0.738,0.003,negative,No,-0.018,0.66,No,linear,-0.016,0.738,0.003,0.095,0.08,North America,0.672,767.093,232.279,22.354,0.653,36.412,0.542,-16.794,0.015,-0.014,4.009,-0.836,-54.696,0.038,-6.873,0.254,-3.112,-0.043,0,0,0.294,0,0.056,0,0,0,0.002,49.895138,-97.138374,711925,332.49,1,106
Wollongong,0.084,0.61,0.001,0.264,positive,Yes,0.629,0.001,Yes,linear,0.61,0.001,0.264,0.084,0.694,Oceania,1.183,1157.6,46.75,13.61,-0.421,35.224,0.508,13.061,0.495,-0.147,34.98,18.323,-24.048,-0.151,0.748,0.205,-0.01,0.079,0,0,0.254,0,0,0.536,0.007,0.982,0.255,-34.424394,150.89385,261897,163.53,5,22
Woodstock,0.369,0.07,0.488,0.019,positive,No,0.028,0.775,No,linear,0.07,0.488,0.019,0.369,0.44,North America,1.06,874.033,301.393,38.517,0.637,37.588,0.475,-11.744,-0.01,0.003,0.842,-13.601,-94.374,0.152,-11.719,0.445,-4.767,0.02,0.041,0.256,0,0,0.001,0,0,0,0.121,43.131443,-80.747106,40404,27.72,4,NA
Wuhan,0.903,-0.052,0.705,0.004,negative,No,-0.109,0.213,No,linear,-0.052,0.705,0.004,0.903,0.851,Asia,1.125,1134.317,31.024,NaN,-0.203,35.864,0.44,12.949,0.177,0.023,-0.072,6.149,NA,-0.413,5.589,-0.015,5.804,-0.074,0.001,0.919,0.202,NA,0,0.015,0.847,0,0.032,30.600917,114.295922,7541527,1603.94,3,241
Xalapa,0.103,0.002,0.984,0,positive,No,0.027,0.753,No,linear,0.002,0.984,0,0.103,0.105,North America,1.252,1315.174,1428.565,30.647,-0.456,35.381,0.504,23.615,0.522,0.035,14.96,17.302,-88.108,-0.214,-8.725,0.451,-4.047,0.402,0.359,0.204,0.75,0,0.003,0.003,0.008,0.014,0.015,19.527269,-96.9235,732835,68.7,1,51
Zurich,0.583,-0.021,0.862,0.001,negative,No,-0.011,0.933,No,linear,-0.021,0.862,0.001,0.583,0.562,Europe,1.428,760.925,462.1,22.391,-0.049,34.582,0.553,3.956,0.309,-0.052,3.296,36.899,-52.141,0.681,-10.07,0.224,-3.607,-0.077,0.025,0.575,0.092,0,0,0,0.001,0,0.385,47.376888,8.541694,415367,318.56,5,120
